Cluster,Project Title,Project Partners,Project Type,Global Innovation Clusters Funding (M),Total Project Value (M),Date of Announcement,Project Location
Advanced Manufacturing Cluster,"OMEGA - A Canadian Built, Autonomous, Intelligent Mobile Forklift for Advanced Manufacturing","Clearpath Robotics Inc., Siemens, Conestoga College",General,0.7,1.58,03/27/2023,"Kitchener, ON"
Advanced Manufacturing Cluster,Quality Control and Predictive Maintenance with AI/ML,"CrossWing Solutions Inc., ASC Canada Inc.",General,1.26,3.22,03/27/2023,"Aurora, ON"
Advanced Manufacturing Cluster,Destination AI,Destination AI,General,0.08,0.16,02/14/2023,Pan-Canadian
Advanced Manufacturing Cluster,Advanced Manufacturing Cluster - CME NL,Alliance of Manufacturers & Exporters Canada,General,0.04,0.08,02/14/2023,"St. John's, NL"
Advanced Manufacturing Cluster,Canadian Association of PPE Manufacturers,Canadian Association of PPE Manufacturers,General,0.08,0.28,02/14/2023,"Cambridge, ON"
Advanced Manufacturing Cluster,CLUSTER Advanced metal machining using data,Reseau Trans-AI,General,0.08,0.16,02/14/2023,"Saguenay, QC"
Advanced Manufacturing Cluster,Canadian Additive Network - Reseau Canadien de Fabrication Additive,Canadian Additive Network (CAN) - Reseau Canadien de Fabrication Additive,General,0.08,0.18,02/14/2023,Pan-Canadian
Advanced Manufacturing Cluster,Digital Twin of the Aluminum Strip Casting Process via Computational Materials Science and Big Data Analysis,"NetProCore, Ai-innovate, Hazelett CASTechnology",General,0.08,0.15,02/14/2023,"Kingston, ON"
Advanced Manufacturing Cluster,"Production of aluminum, iron and rare earths from bauxite residues","Innord Inc. (Geomega Resources Inc.), Rio Tinto Alcan",General,0.08,0.23,02/14/2023,"Boucherville, QC"
Advanced Manufacturing Cluster,Mid-scale Battery Storage system with proactive SOH maintenance feature,"MicroGreen Solar, Rematek-Energie",General,0.23,0.45,02/14/2023,"Markham, ON"
Advanced Manufacturing Cluster,Reliable Supply of New Generation Organic Semiconductors,"Brilliant Matters Organic Electronics, RAYMOR INDUSTRIES",General,0.25,0.5,02/14/2023,"Quebec City, QC"
Advanced Manufacturing Cluster,Real-time Condition Monitoring of Component Degradation for an Electrooxidation Water Treatment Process,"Pulsenics, BioLargo Water",General,0.1,0.21,02/14/2023,"Toronto, ON"
Advanced Manufacturing Cluster,"Humanoid Telepresence Robots for More Safe, Efficient, and Consistent PCB Fabrication","Guidebolt, Candor Industries",General,0.25,0.54,02/14/2023,"Mississauga, ON"
Advanced Manufacturing Cluster,Development of a new manufacturing process for the recovery of value-added products from wastewater using advanced vacuum technologies,"USP Technologies Canada, Brown and Caldwell Consultants Canada, Municipality of Middlesex Centre, Western University",General,0.1,0.29,02/14/2023,"London, ON"
Advanced Manufacturing Cluster,Made in Canada Magnesium TechTiles- Pilot Plant,"ZS2 Technologies, Progressive Planet Solutions, Occam's Technologies",General,0.23,0.54,02/14/2023,"Calgary, AB"
Advanced Manufacturing Cluster,Non-disruptive monitoring of electrochemical activity to advance the state-of-the-art in electrolytic ethanol production processes,"Pulsenics, CERT Systems",General,0.25,0.5,02/14/2023,"Toronto, ON"
Advanced Manufacturing Cluster,Biosurfactant Scale Up,"Dispersa, Project Clean",General,0.25,0.6,02/14/2023,"Laval, QC"
Advanced Manufacturing Cluster,Automated Manufacturing for Ultrasound Transducers used in Sterile Surgery,"Daxsonics Ultrasound, Synaptive Medical",General,0.25,0.6,02/14/2023,"Halifax, NS"
Advanced Manufacturing Cluster,Advanced manufacturing for novel medical consumables used in proprietary pelvic diagnostic imaging system,"Cosm Medical Corp, H&A Mui Enterprises",General,0.25,0.52,02/14/2023,"Toronto, ON"
Advanced Manufacturing Cluster,3D Printing and Semi-Automation of Advanced Manufacturing Processes for Patient-Specific Pessaries,"Cosm Medical, Agile Manufacturing",General,0.25,0.5,02/14/2023,"Toronto, ON"
Advanced Manufacturing Cluster,Development of Gas Oscillation System for Superplastic Forming Process,"AEM Power Systems, Additive Metal Manufacturing, Macrodyne Technologies",General,0.25,0.5,02/14/2023,"Windsor, ON"
Advanced Manufacturing Cluster,The Development of a Robotic Solution for Building Component Prefabrication,"ACQBuilt, Promise Robotics",General,0.24,0.54,02/14/2023,"Edmonton, AB"
Advanced Manufacturing Cluster,Advanced recycling technologies for single-use PPE,"MEA Health, MLD Solutions",General,0.25,0.5,02/14/2023,"Kitchener, ON"
Advanced Manufacturing Cluster,Advanced Manufacturing of integrated quantum dot lasers on silicon photonics,"Luxmux Technology, Dream Photonics",General,0.25,0.55,02/14/2023,"Calgary, AB"
Advanced Manufacturing Cluster,"Online monitoring, diagnostics and predictive analytics of critical assets in food & beverage use-case","Enertics, Skjodt-Barrett Foods",General,0.25,0.5,02/14/2023,"Brampton, ON"
Advanced Manufacturing Cluster,"Development of system for automated calibration & testing of 100% electric sidewalk robots, & moving the manufacturing of robots to Ontario","TopHat, Clear Software Inc., Demtool Inc.",General,0.25,0.5,02/14/2023,"Kitchener, ON"
Advanced Manufacturing Cluster,Towards a Canadian Circular Economy: Novel Manufacturing Processes for Iron-based Coagulants from Metal Wastes for Environmental Applications,"USP Technologies Canada, Municipality of Middlesex Centre, Ryerson University",General,0.1,0.23,02/14/2023,"London, ON"
Advanced Manufacturing Cluster,Characterization of the Dimensionality of Two-Dimensional Nanomaterials,"Lantern Machinery Analytics, Zentek",General,0.1,0.2,02/14/2023,"Vancouver, BC"
Advanced Manufacturing Cluster,Feasibility Study of Manufacturing of Enersion's Tri-Generation,"Enersion, Impact Centre",General,0.1,0.26,02/14/2023,"Toronto, ON"
Advanced Manufacturing Cluster,Production and recycling of nickel materials for EV batteries via carbonyl technology,"Weber Manufacturing Technologies, VPM Research",General,0.25,0.5,02/14/2023,"Midland, ON"
Advanced Manufacturing Cluster,First Canadian Graphene Commercial Supply Chain,"Ora Graphene Audio, LOCUS Precision",General,0.25,0.5,02/14/2023,"Montreal, QC"
Advanced Manufacturing Cluster,Weston Predictive Maintenance Pilot,"Smart Skin Technologies, Coca-Cola Bottling Limited Canada",General,0.08,0.23,02/14/2023,"Fredericton, NB"
Advanced Manufacturing Cluster,Air Cathode Pilot Production Line,"e-Zn, Macrodyne Technologies",General,0.25,0.5,02/14/2023,"Toronto, ON"
Advanced Manufacturing Cluster,Solid State Lithium Batteries,"Electrovaya, Process Research Ortech",General,0.22,0.5,02/14/2023,"Mississauga, ON"
Advanced Manufacturing Cluster,Deployment of an Augmented Reality Remote In-Process Inspection Solution in Discrete Manufacturing,"Interaptix, Gastops",General,0.08,0.17,02/14/2023,"Ottawa, ON"
Advanced Manufacturing Cluster,Innovative Process to Produce Marine Coating,"Graphite Innovation Technologies, K&D Pratt",General,0.25,0.5,02/14/2023,"Dartmouth, NS"
Advanced Manufacturing Cluster,Low-cost Machine Vision: slashing cloud computing costs by 16x using the Distributive Compute Protocol,"Distributive Corp, Honey Vision Inc.",General,0.1,0.2,10/11/2022,"Kingston, ON"
Advanced Manufacturing Cluster,Global Leadership in Life Sciences by Enabling Commercial Scale Manufacture of Cell & Gene Therapies,"OmniaBio Inc. (New CDMO spin-off from CFRM Enterprises), Aspect Biosystems Ltd., Canadian Advanced Therapies Training Institute, ExCellThera Inc., Morphocell Technologies Inc.",General,10.54,34.82,09/20/2022,"Hamilton, ON"
Advanced Manufacturing Cluster,Development of bacterial frameworks for biomanufacturing of industrial and therapeutic products,"Mediphage Bioceuticals Inc., Ardra Inc.",General,0.24,0.57,09/15/2022,"Toronto, ON"
Advanced Manufacturing Cluster,Bioplastic as an alternative to single-use plastics,"Macrodyne Technologies Inc., Ridgetech Automation, Linear Transfer Automation Inc.",General,3.55,8,08/16/2022,"Vaughan, ON"
Advanced Manufacturing Cluster,Robotic Mass Timber CNC Processing Center,"Intelligent City Inc., Brave Control Solutions",General,0.88,1.99,07/11/2022,"Vancouver, BC"
Advanced Manufacturing Cluster,Scaling up the manufacturing process for BrainPrint Bioink,"Axolotl Biosciences, Starfish Medical",General,0.16,0.41,07/08/2022,"Victoria, BC"
Advanced Manufacturing Cluster,Indigenous Manufacturing and Constructing Network - Saskatchewan (IMCN-Sask),Xtended Hydraulics & Machine Inc.,General,0.08,0.15,06/23/2022,"Saskatoon, SK"
Advanced Manufacturing Cluster,Micro-Power-Plant Advanced Manufacturing Demonstrator,"McGuire Aero Propulsion Solutions, Burloak Technologies",General,2.24,5.67,06/22/2022,"Toronto, ON"
Advanced Manufacturing Cluster,National Bio-Manufacturing Centre,"Verschuren Centre Inc., deNova Inc.",General,2.41,8.43,06/09/2022,"Sydney, NS"
Advanced Manufacturing Cluster,"Development of large-scale additive manufacturing capabilities for next-generation, eco-friendly hybrid rocket engines","Reaction Dynamics Lab, Amrikart Ressource Cybernetique",General,1.51,4.89,06/01/2022,"Montreal, QC"
Advanced Manufacturing Cluster,Industrial Implementation of CarbiCrete's Carbon-Negative Concrete Manufacturing Process at Patio Drummond,"CarbiCrete Inc., Patio Drummond, Innovative Inc.",General,3.44,7.74,05/26/2022,"Lachine, QC"
Advanced Manufacturing Cluster,Data Acquisition and Visualization Platform for the Manufacturing of Carbon-Negative Concrete,"CarbiCrete Inc., Patio Drummond",General,0.25,0.5,05/26/2022,"Lachine, QC"
Advanced Manufacturing Cluster,New and Innovative End-of-Line Tester,"Kepstrum Inc., Stackpole International Engineered Products, Armo-Tool Limited",General,0.25,0.5,05/09/2022,"Vaughan, ON"
Advanced Manufacturing Cluster,Intelligent Pilot Manufacturing Line for the Thermal Ground Plane (TGP) T-Man,"Calogy Solutions, Linear Automation",General,1.31,2.62,04/29/2022,"Sherbrooke, QC"
Advanced Manufacturing Cluster,Manufacturing denaLi C Green Lithium Extraction Modules,"Summit Nanotech, Ionic Solutions",General,3.97,7.94,04/29/2022,"Calgary, AB"
Advanced Manufacturing Cluster,Advanced Manufacturing Methods for Electric Vehicle Propulsion Batteries,"Ventra Group, Inspetech",General,3.6,7.2,04/29/2022,"Windsor, ON"
Advanced Manufacturing Cluster,Next Generation Gradfoil Plat Forming Pilot Line,"Ballard Power Systems, Macrodyne Technologies, Eclipse Automation",General,3.18,6.37,04/29/2022,"Burnaby, BC"
Advanced Manufacturing Cluster,Green Recycling of EV Battery Black Mass,"Cnem, Talon Metals Services, Palcan Energy",General,0.41,0.91,04/29/2022,"Mississauga, ON"
Advanced Manufacturing Cluster,AI-Assisted Smart-Optic Manufacturing of Modular EV Systems,"Damon Motors, DarwinAI, Moment Energy",General,3.98,7.96,04/29/2022,"Vancouver, BC"
Advanced Manufacturing Cluster,Automated Module Assembly with Advanced Laser Welding and In-Line QC Methods,"Electrovaya, EECOMOBILITY",General,1.21,2.48,04/29/2022,"Mississauga, ON"
Advanced Manufacturing Cluster,Establish CoE for HVM of HFCs for HDCV to realize Canada's GHG emissions target by 2030 & 2050,"Hydrogenics, AIS, Konnexio,Shelley Industrial Automation",General,3.67,7.77,04/29/2022,"Mississauga, ON"
Advanced Manufacturing Cluster,Compact Inverter Manufacturing Development,"Linamar, Westhill Innovation",General,3.48,7.02,04/29/2022,"Guelph, ON"
