Cluster,Project Title and Description,Project Partners,Project Type,Global Innovation Clusters Funding (M),Total Project Value (M),Date of Announcement,Project Location
Digital Technology Cluster,Lifesaver II (COVID-19 Project),"In its feasibility study phase, this project enabled the scientific and medical communities to share and discover knowledge about the genetics of the COVID-19 virus in real time over a cloud-based global network. Now the project is evolving to develop 'COVID Cloud', a software solution that will enable researchers to harness COVID-related genomic and clinical data and deliver timely insights through state-of-the-art biomedical data discovery, analysis, and access. This will improve our knowledge at a speed and scale that would not otherwise be possible, and inform new ways to diagnose and treat people affected by the virus.","Unity Technologies (formerly Finger Food Advanced Technology), MNP (formerly T4G), Spectrum MD, EventBase, Matidor, Microsoft, UBC, Technical Safety BC, FEMA",2.31,4.37,10/22/2020,"Vancouver, BC"
Digital Technology Cluster,Raven2 (COVID-19 Project),"At the feasibility study phase, this project built the underlying platform for an interactive tool for businesses, emergency responders and policy leaders to make data-driven decisions based on predictive modelling that optimally balance operational needs and health risks. In using data from public sources, health authorities and medical institutions, in addition to weighing weather and travel conditions, this project will evolve to provide customized solutions for a wider variety of organizations, enabling them to make data-driven decisions in response to COVID-19.","Variational AI, adMare Bioinnovations, UBC",1.88,2.37,10/22/2020,"Vancouver, BC"
Digital Technology Cluster,Beacon - Realtime Global Data Sharing Network,"This feasibility project aims to bring a cloud-based technology platform for real-time sharing of and learnings from data relating to infectious diseases across a distributed global network, applied first to COVID-19. The project will demonstrate application for visualizing viral genomes and assessment for extending the platform to support additional infectious diseases outside of COVID-19.","DNAstack, Global Alliance for Genomics & Health",0.25,0.3,10/22/2020,"Toronto, ON"
Digital Technology Cluster,Risk Management Frameworks for Workplace Safety,This Feasibility Assessment will validate the performance and efficacy of pathogen screening for COVID-19 and develop ultra-low-cost screening tools across multiple swathes of society from primary health care provision to air travel to government services.,"EcoScreen Solutions Inc., University of British Columbia (UBC), Patriot One Technologies",0.09,0.18,10/22/2020,"Vancouver, BC"
Digital Technology Cluster,Feeding our Front Lines,This feasibility project will support the follow-on proposal to develop a cloud-based software platform for eGrocery fulfillment management enabling FoodX Technologies to rapidly increase its productivity for SPUD.ca clients in order to meet the increased demand due to COVID-19.,"FoodX, Food-X Urban Delivery, ETG Consulting, SPUD, 1Qbit, adaptech",0.25,0.5,10/22/2020,"Burnaby, BC"
Digital Technology Cluster,Lifesaver: Predicting Emerging Pandemics,"This feasibility project aims to fill information gaps by consolidating and harmonizing vast arrays of data in order to synthesize and display relevant, meaningful information for businesses and the general public.","Unity Technologies (formerly Finger Food Advanced Technology), MNP (formerly T4G), University of British Columbia (UBC)",0.1,0.35,10/22/2020,"Port Coquitlam, BC"
Digital Technology Cluster,Rapid Repurposing of Drugs for COVID-19,This feasibility project uses artificial intelligence to rapidly establish links between drugs that have the potential to combat the effects of COVID-19 and fast-track life-saving treatment for patients.,"Variational AI, adMare Bioinnovations",0.25,0.47,10/22/2020,"Vancouver, BC"
Digital Technology Cluster,Healthcare to Homecare,"In its early stages, this project assessed the feasibility of developping a precision medicine platform that uses real-time, remote monitoring and assessment to deliver data for prognostic, diagnostic and treatment regiments. Now, the project will focus on developing a Frailty Care System (FCS) to help frail individuals remain in their homes as long as possible, while providing essential services at their home. This solution intends to reduce costs and optimize individual care through remote monitoring.","XCO Tech, University of Victoria, Providence Health Care, iClinic Systems, Greenroom Research, Kinduct, Ontario Brain Institute, Quebec Network for Research on Aging, Canadian Frailty Network, Government of BC",1.1,2.46,08/31/2020,"Vancouver, BC"
Digital Technology Cluster,TRUSTSPHERE,"This project aims to empower Canadians through the creation of a scalable and trustworthy health-access platform that enables each person to utilize a strong digital identity to easily view, share and manage their own health data in a private, secure and informed manner. Owing in part to the increased COVID vulnerability of diabetes patients, the pilot will focus on improving patient-centered care for children with Type 1 diabetes by connecting them with their families, caregivers and clinicians.","Careteam, UBC, BC Children`s Hospital Research Institute​, IDENTOS, Secure Key, MedStack, SmileCDR, Mitacs",2.25,5.91,08/31/2020,"Vancouver, BC"
Digital Technology Cluster,Healthcare to Homecare (Feasibility Assessment),"This feasibility project intends to reduce costs and optimize individual care by shifting patients from hospitals to clinics and home environments through remote monitoring. The project aims to develop a precision medicine platform that uses real-time, remote monitoring and assessment to deliver data for prognostic, diagnostic and treatment regiments.","XCO Tech, Careteam Technologies, iClinic Systems, Indoc Research, Kinduct Technologies, Ontario Brain Institute, Providence Health Care, PwC, Quebec Network for Research on Aging (QNRA), Theory and Practice",0.1,0.13,08/31/2020,"Penticton, BC"
Digital Technology Cluster,Protecting our Oceans,"This project will use machine learning, artificial intelligence and data visualization to identify, track and apprehend illegal fishing vessels in order to protect our global fisheries and marine ecosystems.","MDA Systems, VizworX and SFU",0.66,1.55,08/13/2020,"Vancouver, BC"
Digital Technology Cluster,Satellite-based Environmental Analytics,"This project uses machine learning to automate and provide faster, more accurate geographic information through satellite imagery to better understand the health of the environment and mitigate against, and adapt to, climate change.","UrtheCast, Microsoft, Hatfield Consultants, Environment and Climate Change Canada, BGC Engineering Inc., BC Parks Foundation, Mitacs, University of Victoria",1.12,2.91,08/13/2020,"Vancouver, BC"
